system:index,id,.geo
1_1_LT05_036034_19840510,1_1_LT05_036034_19840510,
1_1_LT05_036034_19840526,1_1_LT05_036034_19840526,
1_1_LT05_036034_19840611,1_1_LT05_036034_19840611,
1_1_LT05_036034_19840627,1_1_LT05_036034_19840627,
1_1_LT05_036034_19840713,1_1_LT05_036034_19840713,
1_1_LT05_036034_19840729,1_1_LT05_036034_19840729,
1_1_LT05_036034_19840814,1_1_LT05_036034_19840814,
1_1_LT05_036034_19841017,1_1_LT05_036034_19841017,
1_1_LT05_036034_19850529,1_1_LT05_036034_19850529,
1_1_LT05_036034_19850614,1_1_LT05_036034_19850614,
1_1_LT05_036034_19850630,1_1_LT05_036034_19850630,
1_1_LT05_036034_19850716,1_1_LT05_036034_19850716,
1_1_LT05_036034_19850801,1_1_LT05_036034_19850801,
1_1_LT05_036034_19850817,1_1_LT05_036034_19850817,
1_1_LT05_036034_19851004,1_1_LT05_036034_19851004,
1_1_LT05_036034_19851020,1_1_LT05_036034_19851020,
1_1_LT05_036034_19860430,1_1_LT05_036034_19860430,
1_1_LT05_036034_19860516,1_1_LT05_036034_19860516,
1_1_LT05_036034_19860601,1_1_LT05_036034_19860601,
1_1_LT05_036034_19860617,1_1_LT05_036034_19860617,
1_1_LT05_036034_19860703,1_1_LT05_036034_19860703,
1_1_LT05_036034_19860719,1_1_LT05_036034_19860719,
1_1_LT05_036034_19860804,1_1_LT05_036034_19860804,
1_1_LT05_036034_19860820,1_1_LT05_036034_19860820,
1_1_LT05_036034_19860921,1_1_LT05_036034_19860921,
1_1_LT05_036034_19861007,1_1_LT05_036034_19861007,
1_1_LT05_036034_19861023,1_1_LT05_036034_19861023,
1_1_LT05_036034_19870503,1_1_LT05_036034_19870503,
1_1_LT05_036034_19870519,1_1_LT05_036034_19870519,
1_1_LT05_036034_19870604,1_1_LT05_036034_19870604,
1_1_LT05_036034_19870620,1_1_LT05_036034_19870620,
1_1_LT05_036034_19870706,1_1_LT05_036034_19870706,
1_1_LT05_036034_19870807,1_1_LT05_036034_19870807,
1_1_LT05_036034_19870823,1_1_LT05_036034_19870823,
1_1_LT05_036034_19870908,1_1_LT05_036034_19870908,
1_1_LT05_036034_19870924,1_1_LT05_036034_19870924,
1_1_LT05_036034_19871010,1_1_LT05_036034_19871010,
1_1_LT05_036034_19871026,1_1_LT05_036034_19871026,
1_1_LT05_036034_19880505,1_1_LT05_036034_19880505,
1_1_LT05_036034_19880521,1_1_LT05_036034_19880521,
1_1_LT05_036034_19880606,1_1_LT05_036034_19880606,
1_1_LT05_036034_19880622,1_1_LT05_036034_19880622,
1_1_LT05_036034_19880708,1_1_LT05_036034_19880708,
1_1_LT05_036034_19880724,1_1_LT05_036034_19880724,
1_1_LT05_036034_19880809,1_1_LT05_036034_19880809,
1_1_LT05_036034_19880825,1_1_LT05_036034_19880825,
1_1_LT05_036034_19880910,1_1_LT05_036034_19880910,
1_1_LT05_036034_19880926,1_1_LT05_036034_19880926,
1_1_LT05_036034_19881012,1_1_LT05_036034_19881012,
1_1_LT05_036034_19890508,1_1_LT05_036034_19890508,
1_1_LT05_036034_19890524,1_1_LT05_036034_19890524,
1_1_LT05_036034_19890609,1_1_LT05_036034_19890609,
1_1_LT05_036034_19890625,1_1_LT05_036034_19890625,
1_1_LT05_036034_19890812,1_1_LT05_036034_19890812,
1_1_LT05_036034_19890828,1_1_LT05_036034_19890828,
1_1_LT05_036034_19890913,1_1_LT05_036034_19890913,
1_1_LT05_036034_19890929,1_1_LT05_036034_19890929,
1_1_LT05_036034_19891015,1_1_LT05_036034_19891015,
