system:index,id,.geo
1_1_LT05_022039_19840406,1_1_LT05_022039_19840406,
1_1_LT05_022039_19840422,1_1_LT05_022039_19840422,
1_1_LT05_022039_19840524,1_1_LT05_022039_19840524,
1_1_LT05_022039_19840711,1_1_LT05_022039_19840711,
1_1_LT05_022039_19840828,1_1_LT05_022039_19840828,
1_1_LT05_022039_19840913,1_1_LT05_022039_19840913,
1_1_LT05_022039_19840929,1_1_LT05_022039_19840929,
1_1_LT05_022039_19841031,1_1_LT05_022039_19841031,
1_1_LT05_022039_19841202,1_1_LT05_022039_19841202,
1_1_LT05_022039_19850119,1_1_LT05_022039_19850119,
1_1_LT05_022039_19850324,1_1_LT05_022039_19850324,
1_1_LT05_022039_19850409,1_1_LT05_022039_19850409,
1_1_LT05_022039_19850730,1_1_LT05_022039_19850730,
1_1_LT05_022039_19850831,1_1_LT05_022039_19850831,
1_1_LT05_022039_19851002,1_1_LT05_022039_19851002,
1_1_LT05_022039_19851205,1_1_LT05_022039_19851205,
1_1_LT05_022039_19860106,1_1_LT05_022039_19860106,
1_1_LT05_022039_19860122,1_1_LT05_022039_19860122,
1_1_LT05_022039_19860223,1_1_LT05_022039_19860223,
1_1_LT05_022039_19860327,1_1_LT05_022039_19860327,
1_1_LT05_022039_19860428,1_1_LT05_022039_19860428,
1_1_LT05_022039_19860514,1_1_LT05_022039_19860514,
1_1_LT05_022039_19860530,1_1_LT05_022039_19860530,
1_1_LT05_022039_19860717,1_1_LT05_022039_19860717,
1_1_LT05_022039_19860802,1_1_LT05_022039_19860802,
1_1_LT05_022039_19860818,1_1_LT05_022039_19860818,
1_1_LT05_022039_19860903,1_1_LT05_022039_19860903,
1_1_LT05_022039_19860919,1_1_LT05_022039_19860919,
1_1_LT05_022039_19861005,1_1_LT05_022039_19861005,
1_1_LT05_022039_19861021,1_1_LT05_022039_19861021,
1_1_LT05_022039_19861106,1_1_LT05_022039_19861106,
1_1_LT05_022039_19861122,1_1_LT05_022039_19861122,
1_1_LT05_022039_19861208,1_1_LT05_022039_19861208,
1_1_LT05_022039_19870125,1_1_LT05_022039_19870125,
1_1_LT05_022039_19870210,1_1_LT05_022039_19870210,
1_1_LT05_022039_19870314,1_1_LT05_022039_19870314,
1_1_LT05_022039_19870501,1_1_LT05_022039_19870501,
1_1_LT05_022039_19870517,1_1_LT05_022039_19870517,
1_1_LT05_022039_19870704,1_1_LT05_022039_19870704,
1_1_LT05_022039_19870720,1_1_LT05_022039_19870720,
