system:index,id,.geo
1_1_LT05_022039_20000113,1_1_LT05_022039_20000113,
1_1_LT05_022039_20000214,1_1_LT05_022039_20000214,
1_1_LT05_022039_20000301,1_1_LT05_022039_20000301,
1_1_LT05_022039_20000317,1_1_LT05_022039_20000317,
1_1_LT05_022039_20000418,1_1_LT05_022039_20000418,
1_1_LT05_022039_20000504,1_1_LT05_022039_20000504,
1_1_LT05_022039_20000621,1_1_LT05_022039_20000621,
1_1_LT05_022039_20000707,1_1_LT05_022039_20000707,
1_1_LT05_022039_20000723,1_1_LT05_022039_20000723,
1_1_LT05_022039_20000808,1_1_LT05_022039_20000808,
1_1_LT05_022039_20000824,1_1_LT05_022039_20000824,
1_1_LT05_022039_20000909,1_1_LT05_022039_20000909,
1_1_LT05_022039_20000925,1_1_LT05_022039_20000925,
1_1_LT05_022039_20001011,1_1_LT05_022039_20001011,
1_1_LT05_022039_20001027,1_1_LT05_022039_20001027,
1_1_LT05_022039_20001128,1_1_LT05_022039_20001128,
1_1_LT05_022039_20001214,1_1_LT05_022039_20001214,
1_1_LT05_022039_20001230,1_1_LT05_022039_20001230,
1_1_LT05_022039_20010131,1_1_LT05_022039_20010131,
1_1_LT05_022039_20010304,1_1_LT05_022039_20010304,
1_1_LT05_022039_20010405,1_1_LT05_022039_20010405,
1_1_LT05_022039_20010421,1_1_LT05_022039_20010421,
1_1_LT05_022039_20010507,1_1_LT05_022039_20010507,
1_1_LT05_022039_20010523,1_1_LT05_022039_20010523,
1_1_LT05_022039_20010624,1_1_LT05_022039_20010624,
1_1_LT05_022039_20010710,1_1_LT05_022039_20010710,
1_1_LT05_022039_20010827,1_1_LT05_022039_20010827,
1_1_LT05_022039_20010912,1_1_LT05_022039_20010912,
1_1_LT05_022039_20010928,1_1_LT05_022039_20010928,
1_1_LT05_022039_20011014,1_1_LT05_022039_20011014,
1_1_LT05_022039_20011030,1_1_LT05_022039_20011030,
1_1_LT05_022039_20011115,1_1_LT05_022039_20011115,
1_1_LT05_022039_20011201,1_1_LT05_022039_20011201,
1_2_LE07_022039_20000105,1_2_LE07_022039_20000105,
1_2_LE07_022039_20000121,1_2_LE07_022039_20000121,
1_2_LE07_022039_20000206,1_2_LE07_022039_20000206,
1_2_LE07_022039_20000222,1_2_LE07_022039_20000222,
1_2_LE07_022039_20000325,1_2_LE07_022039_20000325,
1_2_LE07_022039_20000410,1_2_LE07_022039_20000410,
1_2_LE07_022039_20000426,1_2_LE07_022039_20000426,
1_2_LE07_022039_20000512,1_2_LE07_022039_20000512,
1_2_LE07_022039_20000528,1_2_LE07_022039_20000528,
1_2_LE07_022039_20000613,1_2_LE07_022039_20000613,
1_2_LE07_022039_20000629,1_2_LE07_022039_20000629,
1_2_LE07_022039_20000715,1_2_LE07_022039_20000715,
1_2_LE07_022039_20000731,1_2_LE07_022039_20000731,
1_2_LE07_022039_20000816,1_2_LE07_022039_20000816,
1_2_LE07_022039_20000901,1_2_LE07_022039_20000901,
1_2_LE07_022039_20000917,1_2_LE07_022039_20000917,
1_2_LE07_022039_20001003,1_2_LE07_022039_20001003,
1_2_LE07_022039_20001019,1_2_LE07_022039_20001019,
1_2_LE07_022039_20001104,1_2_LE07_022039_20001104,
1_2_LE07_022039_20001120,1_2_LE07_022039_20001120,
1_2_LE07_022039_20001206,1_2_LE07_022039_20001206,
1_2_LE07_022039_20001222,1_2_LE07_022039_20001222,
1_2_LE07_022039_20010107,1_2_LE07_022039_20010107,
1_2_LE07_022039_20010123,1_2_LE07_022039_20010123,
1_2_LE07_022039_20010208,1_2_LE07_022039_20010208,
1_2_LE07_022039_20010224,1_2_LE07_022039_20010224,
1_2_LE07_022039_20010312,1_2_LE07_022039_20010312,
1_2_LE07_022039_20010413,1_2_LE07_022039_20010413,
1_2_LE07_022039_20010429,1_2_LE07_022039_20010429,
1_2_LE07_022039_20010515,1_2_LE07_022039_20010515,
1_2_LE07_022039_20010531,1_2_LE07_022039_20010531,
1_2_LE07_022039_20010616,1_2_LE07_022039_20010616,
1_2_LE07_022039_20010702,1_2_LE07_022039_20010702,
1_2_LE07_022039_20010718,1_2_LE07_022039_20010718,
1_2_LE07_022039_20010803,1_2_LE07_022039_20010803,
1_2_LE07_022039_20010819,1_2_LE07_022039_20010819,
1_2_LE07_022039_20010904,1_2_LE07_022039_20010904,
1_2_LE07_022039_20010920,1_2_LE07_022039_20010920,
1_2_LE07_022039_20011022,1_2_LE07_022039_20011022,
1_2_LE07_022039_20011107,1_2_LE07_022039_20011107,
1_2_LE07_022039_20011123,1_2_LE07_022039_20011123,
